,left,query,right
170,biggest literary prize the Northern Rock Foundation Writer ’ s Award in 2002 In 2007 she was awarded three,major,"prizes in her native USA the 200,000 Lannan Lifetime Achievement Award for Poetry by the Lannan Foundation of"
171,letter of a general nature as well as drafts of individual poems Editorial correspondence R.S Thomas 1913-2000 is a,major,writer of our time one of the finest religious poets in the English language and one of Wales
172,2007 was first published in the US by Alice James Books in 2005 where it has earned Turner nine,major,literary awards including a 2006 Lannan Literary Fellowship and a 2007 NEA Literature Fellowship in Poetry In 2009
173,anthology of modern Polish poetry featuring large selections of poems by as well as biographies and photographs of seventeen,major,poets who have made their mark during the previous ten years The Burning Forest Modern Polish Poetry Consists
174,Quartets 2 Consists of the cassette recordings of the authors reading their work Recording Ken Smith 1938-2003 was a,major,voice in world poetry a writer whose work shifted territory with time from land to city from Yorkshire
175,none,distinctve,none
176,and loss animals and dreams as well as our interactions with nature and place Her poised ironic poems are,remarkable,for their wry wit conversational tone and psychological insight unmasking the deceptions of love or unravelling family lives
177,and loss animals and dreams as well as our interactions with nature and place Her poised ironic poems are,remarkable,for their wry wit conversational tone and psychological insight unmasking the deceptions of love or unravelling family lives
178,and loss animals and dreams as well as our interactions with nature and place Her poised ironic poems are,remarkable,for their wry wit conversational tone and psychological insight unmasking the deceptions of love or unravelling family lives
179,and loss animals and dreams as well as our interactions with nature and place Her poised ironic poems are,remarkable,for their wry wit conversational tone and psychological insight unmasking the deceptions of love or unravelling family lives
180,often chilling as she unmasks the deceptions of love or unravels family lives Disarmingly conversational in style they are,remarkable,for their psychological insight and their unsentimental mischievously casual view of personal relationships Born in New Zealand she
181,and loss animals and dreams as well as our interactions with nature and place Her poised ironic poems are,remarkable,for their wry wit conversational tone and psychological insight unmasking the deceptions of love or unravelling family lives
182,and loss animals and dreams as well as our interactions with nature and place Her poised ironic poems are,remarkable,for their wry wit conversational tone and psychological insight unmasking the deceptions of love or unravelling family lives
183,and Durham were also hugely influential and are significant aesthetic artefacts in the history of plan-making all the more,remarkable,for being produced in a period of austerity Interest in Sharp and his ideas has grown markedly in
184,and Durham were also hugely influential and are significant aesthetic artefacts in the history of plan-making all the more,remarkable,for being produced in a period of austerity Interest in Sharp and his ideas has grown markedly in
185,and Durham were also hugely influential and are significant aesthetic artefacts in the history of plan-making all the more,remarkable,for being produced in a period of austerity Interest in Sharp and his ideas has grown markedly in
186,and Durham were also hugely influential and are significant aesthetic artefacts in the history of plan-making all the more,remarkable,for being produced in a period of austerity Interest in Sharp and his ideas has grown markedly in
187,and Durham were also hugely influential and are significant aesthetic artefacts in the history of plan-making all the more,remarkable,for being produced in a period of austerity Interest in Sharp and his ideas has grown markedly in
188,and Durham were also hugely influential and are significant aesthetic artefacts in the history of plan-making all the more,remarkable,for being produced in a period of austerity Interest in Sharp and his ideas has grown markedly in
189,and Durham were also hugely influential and are significant aesthetic artefacts in the history of plan-making all the more,remarkable,for being produced in a period of austerity Interest in Sharp and his ideas has grown markedly in
190,and Durham were also hugely influential and are significant aesthetic artefacts in the history of plan-making all the more,remarkable,for being produced in a period of austerity Interest in Sharp and his ideas has grown markedly in
191,and Durham were also hugely influential and are significant aesthetic artefacts in the history of plan-making all the more,remarkable,for being produced in a period of austerity Interest in Sharp and his ideas has grown markedly in
192,and Durham were also hugely influential and are significant aesthetic artefacts in the history of plan-making all the more,remarkable,for being produced in a period of austerity Interest in Sharp and his ideas has grown markedly in
193,and Durham were also hugely influential and are significant aesthetic artefacts in the history of plan-making all the more,remarkable,for being produced in a period of austerity Interest in Sharp and his ideas has grown markedly in
194,and Durham were also hugely influential and are significant aesthetic artefacts in the history of plan-making all the more,remarkable,for being produced in a period of austerity Interest in Sharp and his ideas has grown markedly in
195,and Durham were also hugely influential and are significant aesthetic artefacts in the history of plan-making all the more,remarkable,for being produced in a period of austerity Interest in Sharp and his ideas has grown markedly in
196,and Durham were also hugely influential and are significant aesthetic artefacts in the history of plan-making all the more,remarkable,for being produced in a period of austerity Interest in Sharp and his ideas has grown markedly in
197,and Durham were also hugely influential and are significant aesthetic artefacts in the history of plan-making all the more,remarkable,for being produced in a period of austerity Interest in Sharp and his ideas has grown markedly in
198,and Durham were also hugely influential and are significant aesthetic artefacts in the history of plan-making all the more,remarkable,for being produced in a period of austerity Interest in Sharp and his ideas has grown markedly in
199,and Durham were also hugely influential and are significant aesthetic artefacts in the history of plan-making all the more,remarkable,for being produced in a period of austerity Interest in Sharp and his ideas has grown markedly in
200,and Durham were also hugely influential and are significant aesthetic artefacts in the history of plan-making all the more,remarkable,for being produced in a period of austerity Interest in Sharp and his ideas has grown markedly in
201,the top ten Medal-winning works selected by a panel to compose the ballot for a public election of the,all-time,favourite It ranked third in the public vote from that shortlist Consists of material relating to published works
202,example Camillo Sitte The mid-twentieth century was a period when public and professional interest in planning was at an,all-time,high Sharp was a key figure in defining thinking about the forms that town and countryside should take
203,example Camillo Sitte The mid-twentieth century was a period when public and professional interest in planning was at an,all-time,high Sharp was a key figure in defining thinking about the forms that town and countryside should take
204,example Camillo Sitte The mid-twentieth century was a period when public and professional interest in planning was at an,all-time,high Sharp was a key figure in defining thinking about the forms that town and countryside should take
205,example Camillo Sitte The mid-twentieth century was a period when public and professional interest in planning was at an,all-time,high Sharp was a key figure in defining thinking about the forms that town and countryside should take
206,example Camillo Sitte The mid-twentieth century was a period when public and professional interest in planning was at an,all-time,high Sharp was a key figure in defining thinking about the forms that town and countryside should take
207,example Camillo Sitte The mid-twentieth century was a period when public and professional interest in planning was at an,all-time,high Sharp was a key figure in defining thinking about the forms that town and countryside should take
208,example Camillo Sitte The mid-twentieth century was a period when public and professional interest in planning was at an,all-time,high Sharp was a key figure in defining thinking about the forms that town and countryside should take
209,example Camillo Sitte The mid-twentieth century was a period when public and professional interest in planning was at an,all-time,high Sharp was a key figure in defining thinking about the forms that town and countryside should take
210,example Camillo Sitte The mid-twentieth century was a period when public and professional interest in planning was at an,all-time,high Sharp was a key figure in defining thinking about the forms that town and countryside should take
211,example Camillo Sitte The mid-twentieth century was a period when public and professional interest in planning was at an,all-time,high Sharp was a key figure in defining thinking about the forms that town and countryside should take
212,example Camillo Sitte The mid-twentieth century was a period when public and professional interest in planning was at an,all-time,high Sharp was a key figure in defining thinking about the forms that town and countryside should take
213,example Camillo Sitte The mid-twentieth century was a period when public and professional interest in planning was at an,all-time,high Sharp was a key figure in defining thinking about the forms that town and countryside should take
214,example Camillo Sitte The mid-twentieth century was a period when public and professional interest in planning was at an,all-time,high Sharp was a key figure in defining thinking about the forms that town and countryside should take
215,example Camillo Sitte The mid-twentieth century was a period when public and professional interest in planning was at an,all-time,high Sharp was a key figure in defining thinking about the forms that town and countryside should take
216,example Camillo Sitte The mid-twentieth century was a period when public and professional interest in planning was at an,all-time,high Sharp was a key figure in defining thinking about the forms that town and countryside should take
217,example Camillo Sitte The mid-twentieth century was a period when public and professional interest in planning was at an,all-time,high Sharp was a key figure in defining thinking about the forms that town and countryside should take
218,example Camillo Sitte The mid-twentieth century was a period when public and professional interest in planning was at an,all-time,high Sharp was a key figure in defining thinking about the forms that town and countryside should take
219,example Camillo Sitte The mid-twentieth century was a period when public and professional interest in planning was at an,all-time,high Sharp was a key figure in defining thinking about the forms that town and countryside should take
220,example Camillo Sitte The mid-twentieth century was a period when public and professional interest in planning was at an,all-time,high Sharp was a key figure in defining thinking about the forms that town and countryside should take
221,example Camillo Sitte The mid-twentieth century was a period when public and professional interest in planning was at an,all-time,high Sharp was a key figure in defining thinking about the forms that town and countryside should take
222,example Camillo Sitte The mid-twentieth century was a period when public and professional interest in planning was at an,all-time,high Sharp was a key figure in defining thinking about the forms that town and countryside should take
223,example Camillo Sitte The mid-twentieth century was a period when public and professional interest in planning was at an,all-time,high Sharp was a key figure in defining thinking about the forms that town and countryside should take
224,example Camillo Sitte The mid-twentieth century was a period when public and professional interest in planning was at an,all-time,high Sharp was a key figure in defining thinking about the forms that town and countryside should take
225,example Camillo Sitte The mid-twentieth century was a period when public and professional interest in planning was at an,all-time,high Sharp was a key figure in defining thinking about the forms that town and countryside should take
226,character with modernity and in making these arguments accessible His book Town Planning Harmondsworth Penguin 1940 is the most,widely-read,ever on the subject and followed earlier influential polemical works The plans he produced in the 1940s primarily
227,character with modernity and in making these arguments accessible His book Town Planning Harmondsworth Penguin 1940 is the most,widely-read,ever on the subject and followed earlier influential polemical works The plans he produced in the 1940s primarily
228,character with modernity and in making these arguments accessible His book Town Planning Harmondsworth Penguin 1940 is the most,widely-read,ever on the subject and followed earlier influential polemical works The plans he produced in the 1940s primarily
229,character with modernity and in making these arguments accessible His book Town Planning Harmondsworth Penguin 1940 is the most,widely-read,ever on the subject and followed earlier influential polemical works The plans he produced in the 1940s primarily
230,character with modernity and in making these arguments accessible His book Town Planning Harmondsworth Penguin 1940 is the most,widely-read,ever on the subject and followed earlier influential polemical works The plans he produced in the 1940s primarily
231,character with modernity and in making these arguments accessible His book Town Planning Harmondsworth Penguin 1940 is the most,widely-read,ever on the subject and followed earlier influential polemical works The plans he produced in the 1940s primarily
232,character with modernity and in making these arguments accessible His book Town Planning Harmondsworth Penguin 1940 is the most,widely-read,ever on the subject and followed earlier influential polemical works The plans he produced in the 1940s primarily
233,character with modernity and in making these arguments accessible His book Town Planning Harmondsworth Penguin 1940 is the most,widely-read,ever on the subject and followed earlier influential polemical works The plans he produced in the 1940s primarily
234,character with modernity and in making these arguments accessible His book Town Planning Harmondsworth Penguin 1940 is the most,widely-read,ever on the subject and followed earlier influential polemical works The plans he produced in the 1940s primarily
235,character with modernity and in making these arguments accessible His book Town Planning Harmondsworth Penguin 1940 is the most,widely-read,ever on the subject and followed earlier influential polemical works The plans he produced in the 1940s primarily
236,character with modernity and in making these arguments accessible His book Town Planning Harmondsworth Penguin 1940 is the most,widely-read,ever on the subject and followed earlier influential polemical works The plans he produced in the 1940s primarily
237,character with modernity and in making these arguments accessible His book Town Planning Harmondsworth Penguin 1940 is the most,widely-read,ever on the subject and followed earlier influential polemical works The plans he produced in the 1940s primarily
238,character with modernity and in making these arguments accessible His book Town Planning Harmondsworth Penguin 1940 is the most,widely-read,ever on the subject and followed earlier influential polemical works The plans he produced in the 1940s primarily
239,character with modernity and in making these arguments accessible His book Town Planning Harmondsworth Penguin 1940 is the most,widely-read,ever on the subject and followed earlier influential polemical works The plans he produced in the 1940s primarily
240,character with modernity and in making these arguments accessible His book Town Planning Harmondsworth Penguin 1940 is the most,widely-read,ever on the subject and followed earlier influential polemical works The plans he produced in the 1940s primarily
241,character with modernity and in making these arguments accessible His book Town Planning Harmondsworth Penguin 1940 is the most,widely-read,ever on the subject and followed earlier influential polemical works The plans he produced in the 1940s primarily
242,character with modernity and in making these arguments accessible His book Town Planning Harmondsworth Penguin 1940 is the most,widely-read,ever on the subject and followed earlier influential polemical works The plans he produced in the 1940s primarily
243,character with modernity and in making these arguments accessible His book Town Planning Harmondsworth Penguin 1940 is the most,widely-read,ever on the subject and followed earlier influential polemical works The plans he produced in the 1940s primarily
244,character with modernity and in making these arguments accessible His book Town Planning Harmondsworth Penguin 1940 is the most,widely-read,ever on the subject and followed earlier influential polemical works The plans he produced in the 1940s primarily
245,character with modernity and in making these arguments accessible His book Town Planning Harmondsworth Penguin 1940 is the most,widely-read,ever on the subject and followed earlier influential polemical works The plans he produced in the 1940s primarily
246,character with modernity and in making these arguments accessible His book Town Planning Harmondsworth Penguin 1940 is the most,widely-read,ever on the subject and followed earlier influential polemical works The plans he produced in the 1940s primarily
247,character with modernity and in making these arguments accessible His book Town Planning Harmondsworth Penguin 1940 is the most,widely-read,ever on the subject and followed earlier influential polemical works The plans he produced in the 1940s primarily
248,character with modernity and in making these arguments accessible His book Town Planning Harmondsworth Penguin 1940 is the most,widely-read,ever on the subject and followed earlier influential polemical works The plans he produced in the 1940s primarily
249,character with modernity and in making these arguments accessible His book Town Planning Harmondsworth Penguin 1940 is the most,widely-read,ever on the subject and followed earlier influential polemical works The plans he produced in the 1940s primarily
250,character with modernity and in making these arguments accessible His book Town Planning Harmondsworth Penguin 1940 is the most,widely-read,ever on the subject and followed earlier influential polemical works The plans he produced in the 1940s primarily
