,left,query,right
291,magazines and anthologies from 1955 but did not bring out a book of poems before Jejuri 1976 which won,him,the Commonwealth Poetry Prize and was later published in the US in the NYRB Classics series 2005 His
292,on the poetics of Clemens Brentano At Freiburg the philosopher Martin Heidegger was an influential figure but Enzensberger found,him,‘ disagreeably authoritarian ’ He then worked as a radio editor in Stuttgart until 1957 Consists of letters
293,Somerville College Oxford In 1954 she married the American scholar and writer John McCormick and went to live with,him,in West Berlin then an enclave in Communist East Germany and from 1959 to 1988 in America except
294,Jack Mapanje was head of the Department of English at the University of Malawi when the Malawi authorities arrested,him,in 1987 after his first book of poems had been banned and he was released in 1991 after
295,Green Knight His latest titles from Bloodaxe are Selected Poems 2007 and The Shadow of Sirius 2009 which won,him,his second Pulitzer Prize and was a Poetry Book Society Recommendation Neil Astley 's anthology Bloodaxe Poetry Introductions
296,well as by the Royal Shakespeare Company and other theatre companies In 2002 the socialist magazine Red Pepper dubbed,him,Shadow Poet Laureate and asked him to write regular republican poems for their columns In a National Poetry
297,Company and other theatre companies In 2002 the socialist magazine Red Pepper dubbed him Shadow Poet Laureate and asked,him,to write regular republican poems for their columns In a National Poetry Day poll in 2005 his poem
298,exponent of romantic modernism in Greece and the world In 1979 the Nobel Prize in Literature was bestowed on,him,Consists of letters and proofs relating to the translated work of Odysseas Elytis Odysseas Elytis The Sovereign Sun
299,then worked for 22 years as a weighbridge operator at an animal feedmill in Shropshire a job which left,him,free to think until he was sacked for refusing to wear a uniform introduced by new owners of
300,none,hers,none
301,treatise by the English philosopher and enlightenment thinker John Locke Some thoughts concerning education 1772 in which Locke applies,his,theories of the self and the mind to approaches to education and The state of the prisons in
302,an account of some foreign prisons and hospitals 1784 by the English philanthropist and prison reformer John Howard detailing,his,findings after visiting several hundred prisons across England Scotland and Wales in a series of reports maps and
303,Kamau Braithwaite 's Zea Mexican Diary published in World Literature Today Article entitled 'Sam Slevon Gifts with extracts from,his,letters published in 'Tiger 's Triumph Celebrating Sam Selvon edited by Sucheila Nasta and Anna Rutherford Addition to
304,Dictionary of National Biography File includes notes on the talk/conversation and a promotional poster Conversation with Lawrence Scott about,his,novel 'Light Falling on Bamboo Newspaper cutting of biography of Cynthia Moody published in 'The Guardian Diaries and
305,60 years beginning when he was an undergraduate with cheap editions of work by poets Ezra Pound and T.S.Eliot,his,interest in children ’ s books came later but soon became a lifelong passion resulting in the curation
306,'s working library Bell Gertrude Collection Headmaster of the grammar school at Appleby Westmorland Bainbrigg is also known for,his,archaeological work in Northern England including along Hadrian 's Wall This collection represents the historical portion of the
307,public 1973 The Bosanquet Papers consist of archive material relating to Bernard Bosanquet the idealist philosopher 1848-1923 and to,his,wife Helen Bosanquet née Dendy 1860-1926 a member of the 1909 Poor Law Commission Material relating to Bernard
308,Society Recommendation He won a Paul Hamlyn Award in 1997 He died in 2000 Two posthumous books appeared after,his,death both in 2003 Wolf Tongue Selected Poems 1965-2000 from Bloodaxe Books and Horses in Boiling Blood MacSweeney
309,`` Dame Florence Bell 's Garden '' Middlesbrough 's Winter Gardens were founded by Sir Thomas Hugh Bell and,his,wife Florence Bell in 1907 Middlesbrough Winter Gardens Letters to Molly Bell from Frank Lascelles Invitation Cards Photographs
310,January 1906 Family Photograph Album the Bell family 1906-1911 Family photograph album belonging to Captain Herbert William Richmond and,his,wife This album contains Cracker Mottoes 1907 Family photographs and birth announcements Naval photographs from HMS Dreadnought Newspaper
311,1909 Family Photograph Album Herbert William Richmond 1907-1914 Family photograph album belonging to Rear Admiral Herbert William Richmond and,his,wife Florence Elsa Richmond known as Elsa and nee Bell This album contains items relating to their wedding
312,Album Herbert William and Florence Elsa Richmond 1907 1924 Family photograph album belonging to Captain Herbert William Richmond and,his,wife This album contains family photographs of the Richmond and Trevelyan children and a Naval Review June 1911
313,1911 Family Photograph Album Herbert William Richmond 1909-1913 Family photograph album belonging to Rear Admiral Herbert William Richmond and,his,wife This album contains Family photographs birth announcements photographs from Captain Richmond 's ship Admiral Sir David Beatty
314,Album Herbert William Richmond East Indies Command 1923 Family photograph album belonging to Rear Admiral Herbert William Richmond and,his,wife Florence Elsa Richmond known as Elsa and nee Bell This album contains mainly family photographs of the
315,Album Herbert William Richmond East Indies Command 1923-1925 Family photograph album belonging to Rear Admiral Herbert William Richmond and,his,wife This album contains Family photographs Queen 's College Cambridge Ball 1927 Sir Hugh Bell construction of the
316,Bell family containing cuttings related to Middlesbrough 's Winter Gardens which was founded by Sir Thomas Hugh Bell and,his,wife Florence Bell in 1907 Scrapbook the Bell family Winter Gardens 1908 1922 Invitation to the Coronation of
317,Bell family Winter Gardens 1908 1922 Invitation to the Coronation of King George V and Queen Mary issued to,his,Majesty 's Lieutenant of the North Riding of Yorkshire and Lady Bell Invitation to the Coronation of King
318,of Computing Science at the University of Newcastle upon Tyne later Newcastle University see BR/3 becoming Emeritus Professor following,his,retirement His main research interests are in the field of system dependability and fault-tolerant computing Professor Randell also
319,Science at the University of Newcastle upon Tyne later Newcastle University see BR/3 becoming Emeritus Professor following his retirement,his,main research interests are in the field of system dependability and fault-tolerant computing Professor Randell also carried out
320,of which he was a director see BR/14 and the Northern Informatics Applications Agency see BR/18 In addition to,his,employment Professor Randell served on a number of UK French and European bodies including panels of the Science
321,Methodology and Dependability and Fault Tolerance Consists of papers relating to Professor Randell 's professional and academic associations throughout,his,career Professor Brian Randell Collection From 1957 until 1964 Professor Randell was employed in the Atomic Power Division
322,et Systèmes Aléatoires IRISA Scientific Committee Professor Randell was included in correspondence with the Ministry as a result of,his,service on the CNRS LAAS and IRISA see BR/10 12 Ministry of Research France Ministry of Research France
323,Selected Papers Correspondence with publishers and others Includes correspondence with the Prime Minister Edward Heath January September 1972 concerning,his,refusal to declassify information about wartime work on digital computers for other references to this matter see BR/3/20/3/1-7
324,the Computer Science departments of various Universities with reports and guidance on the Exercise Report by Professor Randell on,his,review of research at the Department of Computer Sciences at the University of Strathclyde May 1997 with related
325,Staying Alive trilogy Bloodaxe Books was founded by Neil Astley in Newcastle upon Tyne in 1978 Initially working from,his,own flat Neil used the Tyneside Free Press Workshop for typesetting whilst also working as the sole sales
326,Her father Sir Thomas Hugh Bell was the son of Sir Isaac Lowthian Bell the industrial metallurgist whilst her,mother,was Mary Shield the daughter of John Shield of Newcastle upon Tyne Her mother died in 1871 and
327,the industrial metallurgist whilst her mother was Mary Shield the daughter of John Shield of Newcastle upon Tyne Her,mother,died in 1871 and Hugh Bell subsequently married Florence Olliffe the daughter of Sir Joseph Olliffe Gertrude Bell
328,and associated material Draft speech for the Save The Children Conference 29 February 1984 entitled 'The Health of Traveller,mother,and Children in East Anglia 'Swan Report and the Education of Traveller Children Institute of Education London 22
329,of her first child these pictures of the house where she was born and its surroundings in which her,mother,lived from 1876 to 1905 from F.B Photograph and Scrapbook Album Molly Trevelyan Rounton Grange and Mount Grace
330,her usual sardonic eye for incongruities and absurdities There are also affectionate poems for her grandchildren and her late,mother,Dragon Talk Full colour jacket cover proof Jacket cover proof Fleur Adcock writes about men and women childhood
331,to read before he was four years old mostly from the Bible which he often read aloud to his,mother,’ s friends When he was 17 he went to work in America but hated the way black
332,Society Recommendation 1996 An Awful Racket 2001 Throw in the Vowels New Selected Poems 2005 and Ireland Is Changing,mother,2011 from Bloodaxe and Hurting God Prose Poems 2010 from Salmon Throw in the Vowels was reissued in
333,the publication and a poem sampler Information sheet Throw in the Vowels New and Selected Poems Ireland is Changing,mother,Consists of a printout of the collection Printout Consists of a page proof annotated by Rita Ann Higgins
334,and David Higman Associates regarding the publication contract Also Included are several photocopies of the poem `` Springing My,mother,'' and information sheets introducing the author the publication and several other publications by Paul Hyland There is
335,educated at home by her father a Russian Jewish immigrant who became an Anglican priest and by her Welsh,mother,She sent her poems as a child to T S Eliot who admired and encouraged her In 1948
336,information sheet introducing the author and the publication Information sheet Hannah Lowe was born in Ilford to an English,mother,and Jamaican-Chinese father She has lived in London Brighton and Santa Cruz California She studied American Literature at
337,Simpson 1923-2012 was born in Jamaica West Indies the son of a lawyer of Scottish descent and a Russian,mother,He emigrated to the United States at the age of 17 studied at Columbia University then served in
338,born in Martins Ferry Ohio in 1927 His father worked for 50 years at a glass factory and his,mother,left school at 14 to work in a laundry neither attended school beyond the eighth grade While in
339,library journals and Festchriften Her translations from Russian include Voslensky 's Nomenklatura and E.N Sayn-Waittgenstein 's Diary 1914-18 her,mother,'s first-hand account of life before and during the Russian Revolution She lives in Vienna Countess Razumovsky 's
340,the publication Information sheet Getting into Poetry Second Edition Consists of press cuttings Press Cuttings B. S. Johnson House,mother,Normal Consists of correspondence regarding the publication particularly with the literary agent Editorial Correspondence and press cuttings Consists
341,Lord William Cavendish Bentinck Includes arrangements for Charles investigation of banks account books a letter from Charles to his,mother,describing the affair and correspondence with Bentinck requesting a full defense of his involvement be published and his
342,Ward Eliot Crawshay Williams T McKinnon Wood Arthur Woodcock and Hilton Young Also includes letters from Charles to his,mother,Caroline while staying at Rounton Grange and others regarding the Hexham election Letters to Charles from various correspondents
343,London Relates to the publication of a series of French textbooks entitled French without Tears by Mary and her,mother,Florence Bell Includes a memorandum of agreement between Mary Florence and the publisher Letters to Mary from Edward
344,Education and school photograph Essays concern Protection and Free Trade The Loss or Gain of the Coloies to the,mother,State Which invention has exercised the more beneficial influence…the printing press or the steam engine differences between democracy
345,Angell and Mary Ramsay regarding a Womens Liberal Federation conference at Whitley Herbert Richmond following the death of his,mother,Florence Bell regarding Elsa Richmond 's health Caroline and George Otto Trevelyan with family news from Hugo in
346,Mary from various correspondents Includes letters from Herbert Samuel in Jerusalem from Janet Trevelyan on the death of her,mother,Mary Ward with an order of service from Elsie Clarke about the children from 'Christina in the United
347,from Elsa Richmond regarding funeral arrangements Also includes an envelope annotated by Mary containing her last letter to her,mother,written after her death and the final letters she received from her Letters to Mary regarding the death
348,verses written by Charles about his love for Mary and arrangements for her to stay with Caroline Trevelyan Charles,mother,Letter from Charles to Mary Concerning Mary 's praise of an essay wrote by Charles References to Corelli
349,Letter from Charles to Mary Concering Charles and Geoff 's recent success at their last meeting discord between Charles,mother,and congratulations from Lord Carlisle on Charles and Mary 's engagement Letter from Charles to Mary Concerning furniture
350,Mary 's recent activities Letter from Mary to Charles Concerning sports and some of Mary 's favourite things her,mother,'s birthday and recent visitors to the family home Letter from Mary to Charles Concerning arrangements for Charles
351,Brian Collection Gertrude Margaret Lowthian Bell was born in Washington in what was then County Durham in 1868 Her,father,Sir Thomas Hugh Bell was the son of Sir Isaac Lowthian Bell the industrial metallurgist whilst her mother
352,family matters and with her ambivalent feelings about her native New Zealand Her initial inspiration was the letters her,father,wrote home from England to his parents during World War II which evoked her own memories of that
353,New Beacon Books He appeared in E.A Markham ’ s seminal anthology Hinterland Bloodaxe 1989 as one of the,father,figures of modern Caribbean poetry Two editions of Selected Poems by Martin Carter have been published one in
354,then the family ’ s hazardous sea voyage from November 1941 to February 1942 around the Cape to her,father,’ s war work in Australia and the return in 1944 across the Pacific and though the Panama
355,stage adaptation of Philippe Petit ’ s To Reach the Cloud the screenplay for the Australian film Romulus My,father,starring Eric Bana which won Best Film at the Australian Film Awards Success a play for the National
356,award from the Society of Authors to fund research into his next book ICELAND SPAR which is about his,father,’ s wartime years in Iceland and an extended selection of his work was published in 2009 HUNTS
357,colour jacket cover proof Jacket cover proof Tony Hoagland was born in 1953 in Fort Bragg North Carolina His,father,was an Army doctor and Hoagland grew up on various military bases throughout the South He currently teaches
358,correspondence and press cuttings Publicity file Denise Levertov 1923-97 was born in Essex and educated at home by her,father,a Russian Jewish immigrant who became an Anglican priest and by her Welsh mother She sent her poems
359,the author and the publication Information sheet Hannah Lowe was born in Ilford to an English mother and Jamaican-Chinese,father,She has lived in London Brighton and Santa Cruz California She studied American Literature at the University of
360,in 1927 at Milford near Kilmaine County Mayo Richard Murphy spent part of his childhood in Ceylon where his,father,was the last British Mayor of Colombo From the age of eight he attended boarding schools in Ireland
361,of a press release regarding Douglas Oliver 's death Bloodaxe Press Release Born in 1936 Otto Orban saw his,father,taken off to prison in 1944 and was sent to an institute a year later where he made
362,End of the Open Road won him a Pulitzer Prize His other books include a memoir The King My,father,'s Wreck Story Line 1995 Selected Prose 1989 and Modern Poets of France A Bilingual Anthology Story Line
363,regarding this revised version of his memoirs This is photocopied typescript with handwritten pagination Louis Simpson The King My,father,'s Wreck Consists of a photocopied typescript with handwritten pagination Louis Simpson The other Jamaican Memoirs of a
364,the Keene Valley in the Adirondacks where she spent many summers and vacations during her childhood and where her,father,'s family had gone for many generations The two greatest influences on her life and work have been
365,has also published two novels The Key Faber 1997 and Little Thing Faber 1998 a short memoir Driving My,father,Faber 1995 and a collection of short fiction Roll Up for the Arabian Derby Bluechrome 2008 Her translation
366,colour jacket cover proof Jacket cover proof James Arlington Wright was born in Martins Ferry Ohio in 1927 His,father,worked for 50 years at a glass factory and his mother left school at 14 to work in
367,Colvin to the Marquis of Dalhousie James Broun-Ramsay Copies of letters from John Colvin to Ross Mangles References his,father,'s death his family 's future prospects with reference to leaving Nettlecombe Charles and Harriet 's property and
368,Elections discussion of the death of Doctor Dickson expenses Basil Williams career and reference to Charles as his 'political,father,and the closure of the post office at Bailiff Bridge Brighouse Correspondents include Basil Williams Herbert Samuel Vincent
369,in Uganda Some of these items feature pencil annotations made by Mary Moorman while researching the biography of her,father,George Macaulay Letters to Charles from George Macaulay Trevelyan Concerning education at Harrow including growing interest in history
370,at Cambridge Some of these items feature pencil annotations made by Mary Moorman while researching the biography of her,father,George Macaulay Letters to Charles from George Macaulay Trevelyan Concerning George Macaulay 's historical research and writing including
371,Basil Williams Some of these items feature pencil annotations made by Mary Moorman while researching the biography of her,father,George Macaulay Letters to Charles from George Macaulay Trevelyan Concerning thoughts on the potential of war with Germany
372,Wallington Estate Some of these items feature pencil annotations made by Mary Moorman while researching the biography of her,father,George Macaulay Letters to Charles from George Macaulay Trevelyan This file was deposited at a later date to
373,original Some of the documents feature annotations by Mary Moorman nee Trevelyan made whilst researching the memoir of her,father,George Macaulay Trevelyan Includes letters from Charles Philips Trevelyan to his solicitor Charles Percy Son Alnwick letters to
374,Vienna a letter from Herbert Richmond to George Otto Trevelyan expressing thanks for condolences on the death of his,father,and a letter from Florence Cresswell expressing gratitude for a visit Letters to Mary from various correspondents Letters
375,Kaye Letters to Mary from Phoebe Kaye Includes letters from Florence Bell and Elsa Richmond a telegram signed 'silly,father,and a letter from Hugh Bell Also includes a letter to Charles from Winston Churchill wishing him well
376,Bell was the son of Sir Isaac Lowthian Bell the industrial metallurgist whilst her mother was Mary Shield the,daughter,of John Shield of Newcastle upon Tyne Her mother died in 1871 and Hugh Bell subsequently married Florence
377,John Shield of Newcastle upon Tyne Her mother died in 1871 and Hugh Bell subsequently married Florence Olliffe the,daughter,of Sir Joseph Olliffe Gertrude Bell was educated at Queen 's College London and at Lady Margaret Hall
378,Sylva Fischerová was born in 1963 in Prague She grew up in the Moravian town of Olomouc as a,daughter,of non-Marxist philosopher whose works were banished under communist rule She returned to Prague to study philosophy and
379,information sheet introducing the author and the publication Information sheet Tess Gallagher was born in Port Angeles Washington the,daughter,of a logger and longshoreman A poet essayist fiction writer and playwright she has published many books including
380,published poetry works of Joanne Limburg Joanne Limburg Femenismo Consists of a printout of the collection titled `` Sisyphus,daughter,'' and a Bloodaxe Books Information Sheet has been added Printout Consists of a press release announcing the
381,Awards 1994 2000 Originally from Warwickshire she has lived in Durham City since 1965 bringing up a son and,daughter,and working as a journalist as Jackie Levitas Now a part-time tutor and mentor in creative writing she
382,Magnificent Chatto 1993 He currently teaches poetry at Amherst College in Massachusetts where he lives with his wife and,daughter,Consists of letters and proofs relating to the published poetry works of Glyn Maxwell Glyn Maxwell Tale of
383,Sift Impress Books 2010 and Songs of the Darkness a selection of his Christmas poems with illustrations by his,daughter,Erica Sail Enitharmon 2010 He has edited a number of anthologies including The New Exeter Book of Riddles
384,Shuttle has lived in Cornwall since 1970 is the widow of the poet Peter Redgrove and has a grown-up,daughter,Zoe who works in the field of sustainable energy Her first collection of poems The Orchard Upstairs 1981
385,Prize Open Diagnosis which was one of the Poetry Society ’ s New Generation Poets titles and The Clever,daughter,a Poetry Book Society Choice which was shortlisted for both T.S Eliot and Forward Prizes Both House of
386,and Albert Museum from a sale by Lord Swaythling management of Cambo School lyrics from a song entitled The,daughter,of Dora relating to the explosives factory at Gretna requests for recommendations and a later photocopy of a
387,Includes discussion of politics reference to education matters reference to to Priory Gate School in Suffolk reference to his,daughter,Katharine Kitty 's acceptance to Girton College Cambridge teachers salaries reference to the Prayer Book debates notice of
388,are incomplete Letters to Charles from various correspondents Includes some verses written in Charles hand including one about his,daughter,Patricia and one on MacDonald 's Labour government Undated notes verses and essays This file formed part of
389,made Parliamentary Secretary to the Board of Education In 1904 Charles married Mary Katharine Trevelyan nee Bell 1881-1966 Molly,daughter,of Hugh and Florence Bell and half-sister of the archaeologist and explorer Gertrude Bell The pair had seven
390,Diary has lock Personal diary of Mary Trevelyan volume 9 Concerning social life motherhood including the birth of her,daughter,Katharine Kitty Trevelyan and political involvement in the Women 's Liberal Foundation Also includes an encounter with Winston
391,Richardson concerning Garibaldi 's Defence of Rome Some of the letters feature notes written by Mary Moorman George 's,daughter,while writing her biography of George Letters to Charles from George Macaulay Trevelyan Concerning politics including Charles Committee
392,from to Charles Mentions Sir Edward Grey Letter from Howard Pease to Charles Congratulatory letter and she mentions his,daughter,Letter from 'Booa Mary Prestwich to Charles Congratulatory letter Postcard from to Charles Delayed congratulatory letter due to
393,Appointment diary of Mary Trevelyan Letters to Mary from Sylvia Henley nee Stanley Includes family news details of her,daughter,Rosalind Elsa and Herbert Richmond 's marriage her husband Anthony Morton Henley 's career and health literature and
394,correspondents Includes letters from Arthur Ponsonby with reference to the death of Helena Swanwick the Labour Party and his,daughter,Elizabeth one page of a letter regarding Katharine Kitty Trevelyan a request to write about Gertrude Bell from
395,and letters of thanks from Geoffrey Howard Letters to Mary from 'Wattie and Geoffrey Howard Includes news of her,daughter,Diana Kaye her health and letter from Phoebe 's husband William Kaye Letters to Mary from Phoebe Kaye
396,Elsa 's pregnancy Mary 's miscarriage job specifications for a parlour maid news of Mary 's children Elsa 's,daughter,Mary and a newspaper cutting of the announcement of Mary Richmond 's birth Also includes letter from Hugh
397,'s health and gratitude for hospitality and gifts Letters to Mary from Herbert Includes family news progress of her,daughter,Mary and news of Herbert 's work Letters to Mary from Elsa Includes news of Elsa 's pregnancy
398,Alverstoke in Hampshire news of Elsa 's children Bridget Mary and Valentine domestic matters progress of Mary and Charles,daughter,Marjorie advertising for servants Herbert 's career and Elsa 's health Also includes an cutting of a letter
399,Includes family news letters from Daubay Diyatalawa and Madras news of the Richmond 's children birth of their youngest,daughter,Nora reference to the general election and Charles appointment as Minister for Education Also includes a letter from
400,the Women 's Institute including confiscation of fascist pamphlets at a National Federation meeting family news visits to her,daughter,Katharine Kitty at Littlefield and an account of a party held by Lady Astor at Cliveden Also includes
401,born in Washington in what was then County Durham in 1868 Her father Sir Thomas Hugh Bell was the,son,of Sir Isaac Lowthian Bell the industrial metallurgist whilst her mother was Mary Shield the daughter of John
402,of the revolution 2 Akhmatova 's first husband Nikolai Gumilev was executed by the Soviet secret police and her,son,Lev Gumilev and her common-law husband Nikolay Punin spent many years in the Gulag where Punin died Consists
403,of the revolution 2 Akhmatova 's first husband Nikolai Gumilev was executed by the Soviet secret police and her,son,Lev Gumilev and her common-law husband Nikolay Punin spent many years in the Gulag where Punin died Translated
404,of Address Poems 1980-1998 2001 his selection from earlier books including The Ice Factory Cat ’ s Whisker The,son,of the Duke of Nowhere I.D and The Wasting Game His book I Spy Pinhole Eye Cinnamon Press
405,one of the original Misty Poets who reacted against the strictures of the Cultural Revolution Born in Switzerland the,son,of a diplomat he grew up in Beijing and began writing when he was sent to the countryside
406,Northern Writers Awards 1994 2000 Originally from Warwickshire she has lived in Durham City since 1965 bringing up a,son,and daughter and working as a journalist as Jackie Levitas Now a part-time tutor and mentor in creative
407,letters and proofs relating to the published poetry works of Glyn Maxwell Glyn Maxwell Tale of the Mayor 's,son,Consists of a proof noted `` GM 's Proofs '' this is annotated in red ink by Neil
408,work edited work and additional information Editorial Correspondence Consists of press cuttings Press Cuttings Kenji Miyazawa was the eldest,son,of a pawnbroker in the town of Hanamaki in the remote prefecture of Iwate After studying agriculture and
409,published by Salmon Publishing Ltd in 1995 Editorial Correspondence Louis Simpson 1923-2012 was born in Jamaica West Indies the,son,of a lawyer of Scottish descent and a Russian mother He emigrated to the United States at the
410,younger British poets from Simon Armitage to Carol Ann Duffy Ken Smith was born in Rudston East Yorkshire the,son,of an itinerant farm labourer He worked in Britain and America as a teacher freelance writer barman magazine
411,to Turin Madrid Athens Ankara Madrid again and finally Vienna He married Anne Marjoribanks in September 1961 and their,son,Piers was born in February 1963 His second collection With Luck Lasting was a Poetry Book Society Recommendation
412,2013 selects previously published but uncollected poems included in none of his other published books Born in Cardiff the,son,of a sea captain he moved with his family in 1918 to Holyhead on Anglesey He was awarded
413,of a typescript copy soft-bound and with setting information Printout Consists of correspondence between Astley R.S Thomas and Thomas,son,Gwydion Thomas regarding changes to the collection and payment Attached are copies of selected poems Correspondence Consists of
414,younger British poets from Simon Armitage to Carol Ann Duffy Ken Smith was born in Rudston East Yorkshire the,son,of an itinerant farm labourer He worked in Britain and America as a teacher freelance writer barman magazine
415,printing industry The Burman-Alnwick Collection was brought together by Dr. C.C Burman and presented to Alnwick U.D.C by his,son,Joseph Burman to later be deposited in the Library on long-term loan.It consists of books pamphlets broadsides and
416,regarding school inspections and religious education Includes Two copies of 'Morning and Evening Prayers 1845 printed by Clowes and,son,Both feature manuscript annotations 'Catalogue of Prints Drawings and Water-colour Paintings in the Library of Wallington October 1
417,pamphlet reporting a talk given by Charles to the meeting on the 27th July 1870 Printed by Clowes and,son,Two copies one annotated Paper delivered to the East India Association meeting One on the Report of the
418,ILP discussion of Mary Prestwich Booa 's will discussion of the circumstances of the death of Walter Barker 's,son,reference to an inquiry at Borrowdale School the management of Cambo School a cutting on Vancouver and a
419,Charles on the progression of Liberalism in England Letters to Charles from various correspondents Accounts of travels with his,son,Geoffrey Washington Trevelyan and Edith Bulmer Includes comparisons with his previous visits accounts of sightseeing in Leningrad and
420,and Dorking visits to Wallington reference to his writing obtaining a Francia Madonna and child painting discussion of their,son,Julian 's nurses reference to Robert 's attendance at appeal tribunals during World War I and letters from
421,Also includes draft letters from Charles Letters to Charles from various correspondents Includes family news with reference to her,son,Julian reference to World War I life at the Shiffolds discussion of domestic staff including acquiring a nurse
422,conditions at Prees Heath Camp with reference to the deaths of soldiers a print of a poem entitled The,son,of Man Cometh by Edward Carpenter a request to recommend Walter Melvin Wilson for a Commission in the
423,Member of Parliament for Elland and some personal correspondence Includes discussion of the discharge of a constituent 's underage,son,Arthur Berry including his birth certificate letters from individuals and organisations protesting the 1902 Education Act also known
424,on Ireland London 1921 Notes for speeches on Ireland and related papers Charles Philips Trevelyan 1870-1958 was the first,son,of George Otto Trevelyan and Caroline Lady Trevelyan of Wallington Hall Northumberland Educated at Harrow and Trinity College
425,the memoir of her father George Macaulay Trevelyan Includes letters from Charles Philips Trevelyan to his solicitor Charles Percy,son,Alnwick letters to Secretary of State from solicitor asking for advice on the re-naturalisation of Katharine and her
426,Bloodaxe the last Viking king of independent Northumbria Based at Hexham Northumberland its finance and administration is handled by,sister,company Pandon Press from Bala in North Wales The company is internationally renowned for its quality in literature
427,Newcastle ’ s Quayside for many years and later behind Newcastle Central station During the 1980 ’ s a,sister,company Bloodaxe Projects Limited was set up to publish local interest books Towards the end of the 1980
428,was split three ways Distribution was taken over by Littlehampton Book Services and sales and finance was managed by,sister,company Pandon Press at Bala in North Wales with editorial publicity and rights management moving to Northumberland initially
429,Full colour jacket cover proof Jacket cover proof Suzanne Batty was born in Plymouth 20 minutes after her twin,sister,and upside down Her family moved to suburban Manchester when she was two She worked with young homeless
430,ink to several poems Typescript Annotated jacket cover draft Consists of a photocopy of the typescript titled `` My,sister,'s Horse '' later renamed `` My Sister 's Sister '' Photocopy Consists of typescript and photocopy of
431,draft Consists of a photocopy of the typescript titled `` My Sister 's Horse '' later renamed `` My,sister,'s Sister '' Photocopy Consists of typescript and photocopy of poems from `` My Husband 's Wife ''
432,of a photocopy of the typescript titled `` My Sister 's Horse '' later renamed `` My Sister 's,sister,'' Photocopy Consists of typescript and photocopy of poems from `` My Husband 's Wife '' Some of
433,'s mental health issues She lives in West Yorkshire and works in a self-harm awareness training partnership with her,sister,Described by Carol Ann Duffy as 'one of the best new young readers on the circuit Clare is
434,of a partial proof Partial Proof Consists of a photograph and negative of the same image Basil Bunting his,sister,cousin and maids Photograph and negative Consists of a fax from Victoria Forde to Neil Astley regarding the
435,Bloodaxe the last Viking king of independent Northumbria Based at Hexham Northumberland its finance and administration is handled by,sister,company Pandon Press from Bala in North Wales The company is internationally renowned for its quality in literature
436,Newcastle ’ s Quayside for many years and later behind Newcastle Central station During the 1980 ’ s a,sister,company Bloodaxe Projects Limited was set up to publish local interest books Towards the end of the 1980
437,was split three ways Distribution was taken over by Littlehampton Book Services and sales and finance was managed by,sister,company Pandon Press at Bala in North Wales with editorial publicity and rights management moving to Northumberland initially
438,education In 1836 he became secretary to the Sudder board of revenue In 1834 Trevelyan married Hannah More 1807-1873,sister,of historian and politician Thomas Babington Macaulay The pair would have three children Margaret Jean Trevelyan 1835-1906 George
439,Thomas Letter of congratulations to Florence Letter to Florence Bell from Emma Klug Letter to Florence likely from her,sister,she accepts to be Mary 's godmother Letter to Florence Bell from Kitty Letter of congratulations to Florence
440,Germany The correspondents include family members such as Charles brothers George Macaulay Trevelyan and Robert Calverley Trevelyan Mary 's,sister,and brother in law Elsa Richmond and Admiral Sir Herbert William Richmond Other correspondents include Sir Winston Churchill
441,Trevelyan and Charles career Letters to Mary from the Trevelyan family Letters from Mary 's aunt Florence Bell 's,sister,Includes family news letters to Mary and her sister Elsa while in Paris a photographic greeting card entitled
442,Trevelyan family Letters from Mary 's aunt Florence Bell 's sister Includes family news letters to Mary and her,sister,Elsa while in Paris a photographic greeting card entitled 'the Merchant of Venice showing children playing on boats
443,Bell nee Olliffe Includes birthday cards letters from London illustrated letters and news from Rounton to Mary and her,sister,Elsa while in Paris and Germany Also includes a letter from Hugh Bell Letters to Mary from Florence
444,family news and letters from Naples St Petersburg Palermo and Munich Also includes a letter to Mary and her,sister,Elsa in Paris from Lowthian Bell Letters to Mary from Hugh Bell Includes an account of Florence 's
445,Letters to Mary from Elizabeth Includes reference to Katharine Kitty Trevelyan 's health news of the death of her,sister,and life at the Shiffolds Letters to Mary from Elizabeth Includes family news and life at the Shiffolds
446,Philips and Mary Katharine Trevelyan nee Bell Molly Concerning a gallery visit arranged by Charles for Mary and her,sister,Elsa Bell Letter from Charles to Mary Concerning arrangements at an upcoming charity ball and Charles imminent trip
447,South Staple Devon visits with their son George Lowthian to stately homes and Attingham Park and visits to her,sister,Elsa Richmond at Gypsy Corner Letters to Charles from Mary Includes family news descriptions of visits to country
448,and visits to their sons George Lowthian at Attingham Park and Geoffrey at Gililies St Albans and to her,sister,Elsa Richmond at Gypsy Corner Letters to Charles from Mary Includes discussion of visits with the Bell family
449,Elsie Clarke to Mary 169 Ewell Road Surbiton Hill Concerns news of Christmas celebrations the Insurance Bill Elsie 's,sister,'s interest in social issues and concerns over the concert performance Letter from Elsie Clarke to Mary 169
450,'s visit to Muiskheim and news of life in London while at the Royal College of Music from his,sister,Marjorie Also includes letters from Mary Smith Anna M Philips and Geoffrey Winthrop Young and a picture postcard
